exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
cointiger,CoinTiger,56,,,0,,https://www.cointiger.com/,1707114784242
bitrue,Bitrue,50,,,0,,https://www.bitrue.com/,1724869987486
zaif,Zaif,73,,,0,,https://zaif.jp/,1666250109990
wazirx,WazirX,72,,,165,False,https://wazirx.com/,1725008393938
zb,ZB,45,,,0,,https://www.zb.com/,1662264169320
bitbay,BitBay,46,,,0,,https://bitbay.net,0
bitflyer,Bitflyer,47,,,0,,https://bitflyer.com/,1724870761533
bithumbglobal,Bithumb Global,48,,,0,,https://www.bithumb.pro/,1692326335935
bitpanda-pro,Bitpanda Pro,49,,,0,,https://www.bitpanda.com/en/pro,1704192020599
bittrex,Bittrex,51,,,0,,https://bittrex.com/,0
bkex,Bkex,52,,,0,,https://www.bkex.com/,0
blockchain-com,Blockchain.com,53,,,0,,https://blockchain.com/,0
coinbene,Coinbene,54,,,0,,https://www.coinbene.com,0
uniswap-v3,Uniswap (V3),71,,,0,,https://uniswap.org/,1719351243732
